DATE,CLOSEYEST
2015-01-05,66.55
2015-01-06,64.9
2015-01-07,65.0
2015-01-08,66.5
2015-01-09,66.15
2015-01-12,65.75
2015-01-13,65.95
2015-01-14,65.6
2015-01-15,65.8
2015-01-16,65.5
2015-01-19,66.25
2015-01-20,66.75
2015-01-21,67.25
2015-01-22,67.6
2015-01-23,68.7
2015-01-26,68.7
2015-01-27,69.15
2015-01-28,69.15
2015-01-29,68.3
2015-01-30,68.0
2015-02-02,68.15
2015-02-03,68.65
2015-02-04,69.4
2015-02-05,69.1
2015-02-06,68.75
2015-02-09,68.5
2015-02-10,68.25
2015-02-11,69.0
2015-02-12,69.0
2015-02-13,69.45
2015-02-24,70.25
2015-02-25,70.8
2015-02-26,70.3
2015-03-02,70.0
2015-03-03,69.9
2015-03-04,69.95
2015-03-05,69.7
2015-03-06,69.8
2015-03-09,69.1
2015-03-10,68.95
2015-03-11,69.05
2015-03-12,69.65
2015-03-13,69.45
2015-03-16,68.9
2015-03-17,69.15
2015-03-18,69.9
2015-03-19,70.65
2015-03-20,70.55
2015-03-23,70.75
2015-03-24,70.5
2015-03-25,70.25
2015-03-26,69.4
2015-03-27,68.75
2015-03-30,68.8
2015-03-31,69.05
2015-04-01,68.65
2015-04-02,69.5
2015-04-07,69.6
2015-04-08,69.0
2015-04-09,69.1
2015-04-10,69.65
2015-04-13,69.85
2015-04-14,69.5
2015-04-15,68.65
2015-04-16,69.7
2015-04-17,69.05
2015-04-20,68.95
2015-04-21,68.95
2015-04-22,69.65
2015-04-23,71.5
2015-04-24,72.2
2015-04-27,72.75
2015-04-28,72.6
2015-04-29,71.8
2015-04-30,71.45
2015-05-04,71.6
2015-05-05,71.2
2015-05-06,71.3
2015-05-07,70.45
2015-05-08,70.5
2015-05-11,70.85
2015-05-12,70.7
2015-05-13,71.1
2015-05-14,70.1
2015-05-15,70.0
2015-05-18,70.25
2015-05-19,71.3
2015-05-20,70.8
2015-05-21,70.15
2015-05-22,70.7
2015-05-25,70.7
2015-05-26,71.0
2015-05-27,71.15
2015-05-28,71.5
2015-05-29,71.1
2015-06-01,70.5
2015-06-02,70.4
2015-06-03,69.95
2015-06-04,68.6
2015-06-05,68.45
2015-06-08,68.9
2015-06-09,68.35
2015-06-10,68.65
2015-06-11,68.85
2015-06-12,68.8
2015-06-15,68.65
2015-06-16,68.2
2015-06-17,68.5
2015-06-18,68.4
2015-06-22,69.35
2015-06-23,69.55
2015-06-24,69.65
2015-06-25,70.45
2015-06-26,70.45
2015-06-29,68.8
2015-06-30,69.4
2015-07-01,70.05
2015-07-02,70.1
2015-07-03,70.1
2015-07-06,69.3
2015-07-07,69.6
2015-07-08,67.5
2015-07-09,67.1
2015-07-13,68.1
2015-07-14,68.1
2015-07-15,68.25
2015-07-16,68.6
2015-07-17,68.5
2015-07-20,68.0
2015-07-21,68.65
2015-07-22,67.8
2015-07-23,67.15
2015-07-24,66.75
2015-07-27,65.8
2015-07-28,65.85
2015-07-29,65.4
2015-07-30,66.5
2015-07-31,66.15
2015-08-03,65.25
2015-08-04,65.3
2015-08-05,65.7
2015-08-06,65.0
2015-08-07,64.7
2015-08-10,64.55
2015-08-11,64.55
2015-08-12,63.45
2015-08-13,63.55
2015-08-14,63.3
2015-08-17,62.9
2015-08-18,62.55
2015-08-19,61.6
2015-08-20,61.4
2015-08-21,59.8
2015-08-24,57.5
2015-08-25,60.0
2015-08-26,60.35
2015-08-27,60.15
2015-08-28,61.8
2015-08-31,62.3
2015-09-01,61.75
2015-09-02,62.1
2015-09-03,62.15
2015-09-04,61.35
2015-09-07,61.25
2015-09-08,61.45
2015-09-09,64.15
2015-09-10,63.45
2015-09-11,63.5
2015-09-14,63.65
2015-09-15,63.15
2015-09-16,63.9
2015-09-17,65.0
2015-09-18,64.85
2015-09-21,63.45
2015-09-22,63.8
2015-09-23,62.35
2015-09-24,62.0
2015-09-25,62.25
2015-09-30,62.4
2015-10-01,63.6
2015-10-02,63.25
2015-10-05,63.4
2015-10-06,63.9
2015-10-07,64.85
2015-10-08,64.7
2015-10-12,65.55
2015-10-13,65.3
2015-10-14,65.05
2015-10-15,66.0
2015-10-16,65.75
2015-10-19,65.95
2015-10-20,65.95
2015-10-21,65.5
2015-10-22,65.5
2015-10-23,65.9
2015-10-26,64.55
2015-10-27,64.2
2015-10-28,63.75
2015-10-29,63.3
2015-10-30,63.2
2015-11-02,63.3
2015-11-03,64.3
2015-11-04,65.55
2015-11-05,65.4
2015-11-06,64.1
2015-11-09,63.65
2015-11-10,62.9
2015-11-11,62.15
2015-11-12,62.25
2015-11-13,61.6
2015-11-16,61.15
2015-11-17,62.35
2015-11-18,61.4
2015-11-19,62.3
2015-11-20,62.3
2015-11-23,62.6
2015-11-24,61.95
2015-11-25,61.95
2015-11-26,62.8
2015-11-27,61.95
2015-11-30,61.2
2015-12-01,62.4
2015-12-02,62.3
2015-12-03,62.4
2015-12-04,61.75
2015-12-07,62.5
2015-12-08,61.5
2015-12-09,60.75
2015-12-10,60.55
2015-12-11,59.85
2015-12-14,59.4
2015-12-15,59.45
2015-12-16,60.35
2015-12-17,61.05
2015-12-18,60.75
2015-12-21,60.65
2015-12-22,60.8
2015-12-23,60.9
2015-12-24,61.2
2015-12-25,61.6
2015-12-28,61.45
2015-12-29,61.0
2015-12-30,60.55
2015-12-31,60.75
2016-01-04,59.55
2016-01-05,59.05
2016-01-06,58.45
2016-01-07,57.35
2016-01-08,57.45
2016-01-11,56.55
2016-01-12,56.5
2016-01-13,57.15
2016-01-14,56.7
2016-01-15,56.7
2016-01-18,57.1
2016-01-19,57.25
2016-01-20,55.9
2016-01-21,55.8
2016-01-22,56.55
2016-01-25,57.55
2016-01-26,57.0
2016-01-27,57.25
2016-01-28,57.55
2016-01-29,59.0
2016-01-30,59.55
2016-02-01,59.55
2016-02-02,59.35
2016-02-03,58.95
2016-02-15,59.0
2016-02-16,60.25
2016-02-17,59.95
2016-02-18,60.9
2016-02-19,60.85
2016-02-22,60.8
2016-02-23,60.85
2016-02-24,60.3
2016-02-25,61.1
2016-02-26,61.25
2016-03-01,61.85
2016-03-02,62.35
2016-03-03,62.95
2016-03-04,63.1
2016-03-07,63.1
2016-03-08,63.05
2016-03-09,63.1
2016-03-10,63.25
2016-03-11,63.55
2016-03-14,64.0
2016-03-15,63.05
2016-03-16,63.6
2016-03-17,64.3
2016-03-18,64.7
2016-03-21,64.6
2016-03-22,64.4
2016-03-23,64.35
2016-03-24,64.35
2016-03-25,64.05
2016-03-28,64.1
2016-03-29,63.65
2016-03-30,64.7
2016-03-31,64.65
2016-04-01,63.9
2016-04-06,62.4
2016-04-07,62.15
2016-04-08,62.75
2016-04-11,63.0
2016-04-12,62.95
2016-04-13,64.05
2016-04-14,64.25
2016-04-15,64.25
2016-04-18,63.85
2016-04-19,63.6
2016-04-20,62.65
2016-04-21,62.95
2016-04-22,63.2
2016-04-25,63.25
2016-04-26,63.5
2016-04-27,63.4
2016-04-28,62.4
2016-04-29,61.6
2016-05-03,60.75
2016-05-04,60.1
2016-05-05,60.2
2016-05-06,59.7
2016-05-09,59.7
2016-05-10,60.0
2016-05-11,59.85
2016-05-12,59.8
2016-05-13,59.15
2016-05-16,59.6
2016-05-17,60.05
2016-05-18,59.95
2016-05-19,59.65
2016-05-20,60.0
2016-05-23,62.0
2016-05-24,61.35
2016-05-25,62.0
2016-05-26,62.15
2016-05-27,62.6
2016-05-30,63.15
2016-05-31,63.15
2016-06-01,63.7
2016-06-02,63.7
2016-06-03,63.85
2016-06-04,63.95
2016-06-06,64.05
2016-06-07,64.9
2016-06-08,65.25
2016-06-13,63.75
2016-06-14,64.15
2016-06-15,64.25
2016-06-16,63.35
2016-06-17,64.05
2016-06-20,64.5
2016-06-21,64.75
2016-06-22,64.95
2016-06-23,64.8
2016-06-24,63.1
2016-06-27,63.75
2016-06-28,64.0
2016-06-29,64.7
2016-06-30,65.45
2016-07-01,66.25
2016-07-04,66.3
2016-07-05,66.1
2016-07-06,64.9
2016-07-07,65.7
2016-07-11,67.0
2016-07-12,67.6
2016-07-13,67.65
2016-07-14,67.7
2016-07-15,68.5
2016-07-18,69.15
2016-07-19,69.25
2016-07-20,69.2
2016-07-21,69.55
2016-07-22,69.3
2016-07-25,69.0
2016-07-26,69.4
2016-07-27,69.7
2016-07-28,69.05
2016-07-29,68.55
2016-08-01,69.3
2016-08-02,69.3
2016-08-03,68.75
2016-08-04,68.9
2016-08-05,69.6
2016-08-08,70.05
2016-08-09,70.4
2016-08-10,70.6
2016-08-11,69.95
2016-08-12,70.2
2016-08-15,70.35
2016-08-16,69.95
2016-08-17,70.05
2016-08-18,69.9
2016-08-19,69.2
2016-08-22,68.7
2016-08-23,69.4
2016-08-24,69.2
2016-08-25,70.0
2016-08-26,70.1
2016-08-29,70.05
2016-08-30,70.0
2016-08-31,69.4
2016-09-01,69.05
2016-09-02,69.15
2016-09-05,70.3
2016-09-06,70.85
2016-09-07,71.85
2016-09-08,71.6
2016-09-09,70.4
2016-09-10,69.4
2016-09-12,68.85
2016-09-13,68.85
2016-09-14,68.45
2016-09-19,71.0
2016-09-20,70.9
2016-09-21,71.25
2016-09-22,71.4
2016-09-23,71.9
2016-09-26,71.0
2016-09-29,71.9
2016-09-30,70.95
2016-10-03,71.45
2016-10-04,71.75
2016-10-05,71.5
2016-10-06,71.7
2016-10-07,71.65
2016-10-11,71.45
2016-10-12,72.25
2016-10-13,71.7
2016-10-14,71.45
2016-10-17,71.45
2016-10-18,71.95
2016-10-19,72.35
2016-10-20,72.65
2016-10-21,72.6
2016-10-24,72.7
2016-10-25,73.4
2016-10-26,73.0
2016-10-27,72.6
2016-10-28,72.6
2016-10-31,72.6
2016-11-01,72.6
2016-11-02,71.75
2016-11-03,71.2
2016-11-04,71.0
2016-11-07,72.0
2016-11-08,72.35
2016-11-09,70.0
2016-11-10,72.0
2016-11-11,70.05
2016-11-14,70.1
2016-11-15,69.9
2016-11-16,70.0
2016-11-17,70.2
2016-11-18,70.4
2016-11-21,70.5
2016-11-22,71.45
2016-11-23,71.8
2016-11-24,71.4
2016-11-25,71.35
2016-11-28,71.75
2016-11-29,71.65
2016-11-30,71.7
2016-12-01,72.0
2016-12-02,71.2
2016-12-05,71.1
2016-12-06,72.0
2016-12-07,72.0
2016-12-08,72.9
2016-12-09,73.15
2016-12-12,72.85
2016-12-13,72.95
2016-12-14,73.1
2016-12-15,73.0
2016-12-16,72.3
2016-12-19,71.85
2016-12-20,71.75
2016-12-21,71.7
2016-12-22,70.8
2016-12-23,70.55
2016-12-26,70.8
2016-12-27,70.75
2016-12-28,71.6
2016-12-29,71.25
2016-12-30,71.8
2017-01-03,71.9
2017-01-04,71.85
2017-01-05,72.5
2017-01-06,72.65
2017-01-09,72.45
2017-01-10,72.4
2017-01-11,72.4
2017-01-12,73.15
2017-01-13,72.6
2017-01-16,72.0
2017-01-17,72.3
2017-01-18,72.15
2017-01-19,71.95
2017-01-20,72.15
2017-01-23,72.75
2017-01-24,73.3
2017-02-02,72.9
2017-02-03,72.85
2017-02-06,73.25
2017-02-07,73.3
2017-02-08,71.75
2017-02-09,72.0
2017-02-10,72.8
2017-02-13,72.95
2017-02-14,73.2
2017-02-15,73.9
2017-02-16,73.45
2017-02-17,73.35
2017-02-18,73.5
2017-02-20,73.1
2017-02-21,73.25
2017-02-22,73.3
2017-02-23,73.1
2017-02-24,73.15
2017-03-01,72.35
2017-03-02,72.55
2017-03-03,72.1
2017-03-06,72.15
2017-03-07,72.45
2017-03-08,72.85
2017-03-09,72.05
2017-03-10,72.0
2017-03-13,72.5
2017-03-14,73.0
2017-03-15,72.85
2017-03-16,73.8
2017-03-17,74.0
2017-03-20,73.95
2017-03-21,74.9
2017-03-22,74.2
2017-03-23,74.35
2017-03-24,74.25
2017-03-27,74.2
2017-03-28,74.25
2017-03-29,74.0
2017-03-30,73.9
2017-03-31,73.7
2017-04-05,74.65
2017-04-06,74.4
2017-04-07,74.1
2017-04-10,74.2
2017-04-11,73.9
2017-04-12,74.05
2017-04-13,74.4
2017-04-14,73.55
2017-04-17,73.6
2017-04-18,73.6
2017-04-19,72.8
2017-04-20,72.8
2017-04-21,73.5
2017-04-24,73.65
2017-04-25,74.35
2017-04-26,74.55
2017-04-27,74.5
2017-04-28,74.55
2017-05-02,75.2
2017-05-03,75.55
2017-05-04,75.65
2017-05-05,75.15
2017-05-08,75.7
2017-05-09,75.95
2017-05-10,76.25
2017-05-11,76.5
2017-05-12,76.3
2017-05-15,76.5
2017-05-16,76.5
2017-05-17,76.3
2017-05-18,75.9
2017-05-19,75.85
2017-05-22,76.05
2017-05-23,76.35
2017-05-24,76.3
2017-05-25,77.0
2017-05-26,76.95
2017-05-31,76.5
2017-06-01,76.9
2017-06-02,77.2
2017-06-03,77.4
2017-06-05,78.0
2017-06-06,77.95
2017-06-07,77.95
2017-06-08,78.25
2017-06-09,78.0
2017-06-12,77.15
2017-06-13,77.25
2017-06-14,76.85
2017-06-15,76.9
2017-06-16,77.7
2017-06-19,78.55
2017-06-20,79.45
2017-06-21,79.55
2017-06-22,79.75
2017-06-23,79.7
2017-06-26,81.4
2017-06-27,81.3
2017-06-28,80.55
2017-06-29,80.65
2017-06-30,80.4
2017-07-03,80.45
2017-07-04,80.0
2017-07-05,80.75
2017-07-06,80.4
2017-07-07,79.95
2017-07-10,80.35
2017-07-11,81.55
2017-07-12,81.55
2017-07-13,82.2
2017-07-14,82.05
2017-07-17,82.2
2017-07-18,82.4
2017-07-19,82.7
2017-07-20,82.65
2017-07-21,82.1
2017-07-24,82.3
2017-07-25,82.45
2017-07-26,82.15
2017-07-27,83.0
2017-07-28,82.1
2017-07-31,81.35
2017-08-01,81.8
2017-08-02,82.5
2017-08-03,82.2
2017-08-04,82.35
2017-08-07,82.95
2017-08-08,82.9
2017-08-09,82.15
2017-08-10,81.6
2017-08-11,81.25
2017-08-14,80.75
2017-08-15,81.3
2017-08-16,81.0
2017-08-17,81.65
2017-08-18,81.15
2017-08-21,81.05
2017-08-22,81.85
2017-08-23,81.75
2017-08-24,82.55
